Date,Open,High,Low,Close,Volume
2022-12-12,7470.4503805226295,7623.802734375,7426.635422279095,7623.802734375,102851800
2022-12-13,7558.080297009698,7623.802734375,7492.357859644397,7623.802734375,104580200
2022-12-14,7536.172599637681,7623.802513586957,7470.450164175724,7558.080078125,118164300
2022-12-15,7514.265406709558,7536.1728860294115,7448.54296875,7448.54296875,113255700
2022-12-16,7382.8195403343025,7579.986827761628,7360.9120639534885,7536.171875,181516700
2022-12-19,7579.98828125,7623.803242413294,7536.173320086705,7579.98828125,67482900
2022-12-20,7492.357658186042,7579.9875723168725,7492.357658186042,7514.26513671875,41243700
2022-12-21,7536.171132024496,7623.801028908501,7514.263657803494,7601.8935546875,33617700
2022-12-22,7579.9875723168725,7601.895050849581,7514.26513671875,7514.26513671875,59591500
2022-12-23,7470.450448069852,7514.265406709558,7448.54296875,7448.54296875,47393000
2022-12-26,7448.542701120627,7558.080093784165,7448.542701120627,7514.26513671875,20495900
2022-12-27,7536.171875,7579.986827761628,7514.264398619186,7536.171875,27193800
2022-12-28,7579.98828125,7579.98828125,7492.35835892341,7579.98828125,40420200
2022-12-29,7470.450179653334,7536.1726152514575,7448.542701120627,7514.26513671875,47020900
2022-12-30,7514.26489971674,7579.987333241959,7492.357421875,7492.357421875,44681400
2023-01-02,7514.26489971674,7536.17237755848,7448.54246619152,7492.357421875,10653900
2023-01-03,7492.357421875,7536.17237755848,7470.44994403326,7492.357421875,27399100
2023-01-04,7470.450002339072,7514.264958364522,7317.09765625,7317.09765625,90918800
2023-01-05,7317.097685842803,7339.005163944129,7141.837861032197,7229.4677734375,128838500
2023-01-06,7098.022413874247,7295.189703148531,7098.022413874247,7273.2822265625,69286600
2023-01-09,7295.189668373244,7404.72705078125,7295.189668373244,7404.72705078125,86916900
2023-01-10,7360.912413990825,7382.819891413417,7141.837639764908,7163.7451171875,101759100
2023-01-11,7054.208227163461,7141.8381430288455,7010.393269230769,7119.9306640625,96069100
2023-01-12,7141.837639764908,7251.375026877867,7119.930162342316,7163.7451171875,103804600
2023-01-13,7141.837920953028,7163.74539923816,7032.300529527368,7054.2080078125,119748200
2023-01-16,7054.207495566527,7185.652355732363,7054.207495566527,7141.83740234375,105710700
2023-01-17,7163.745077597128,7339.004896009291,7141.837600295608,7295.18994140625,88695900
2023-01-18,7185.6523202183735,7295.189703148531,7163.744843632342,7273.2822265625,96814600
2023-01-19,7317.09741870777,7317.09741870777,7229.467509501689,7295.18994140625,66391800
2023-01-20,7251.374749976469,7295.189703148531,7229.467273390437,7273.2822265625,96859500
2023-01-24,7273.282983472644,7317.097941204407,7207.560546875,7207.560546875,42474500
2023-01-25,7273.282250381098,7273.282250381098,7185.65234375,7185.65234375,66124500
2023-01-26,7207.559993777655,7426.634765625,7207.559993777655,7426.634765625,77582300
2023-01-27,7623.802734375,7755.247609105604,7492.357859644397,7623.802734375,196804700
2023-01-30,7645.710213496768,7689.5251717403025,7514.265338766164,7623.802734375,68544300
2023-01-31,7558.079628733407,7601.894583102876,7426.634765625,7426.634765625,200589000
2023-02-01,7514.265406709558,7514.265406709558,7404.728010110294,7448.54296875,77396200
2023-02-02,7382.819574299649,7470.449480226054,7360.912097818047,7404.72705078125,99109500
2023-02-03,7492.357859644397,7623.802734375,7448.542901400862,7623.802734375,71716700
2023-02-06,7667.616949655266,7667.616949655266,7579.987041659205,7645.70947265625,117757700
2023-02-07,7689.524637513242,7755.2470703125,7667.617159913489,7755.2470703125,116014700
2023-02-08,7733.34033203125,7755.2478117253895,7711.4328523371105,7733.34033203125,54495500
2023-02-09,7733.339579035726,7799.06201171875,7711.432101474718,7799.06201171875,72381700
2023-02-10,7777.155291419529,7799.0627711136685,7623.802933560552,7733.34033203125,62060900
2023-02-13,7777.15478515625,7799.062263424295,7689.524872084066,7777.15478515625,63775000
2023-02-14,7755.2475258598115,7842.877441406251,7733.340046973202,7842.87744140625,81678200
2023-02-15,7777.15478515625,7799.062263424295,7667.617393816021,7777.15478515625,38037000
2023-02-16,7733.340129983837,7755.247609105604,7623.802734375,7623.802734375,66040400
2023-02-17,7689.52442665428,7755.246857651326,7645.70947265625,7645.70947265625,43588900
2023-02-20,7645.709709821429,7733.339620535715,7623.802232142858,7667.6171875,40077000
2023-02-21,7689.5251717403025,7711.43265086207,7623.802734375,7623.802734375,25390500
2023-02-22,7623.801028908501,7667.615977350504,7558.078606245497,7601.8935546875,38671900
2023-02-23,7558.07956466019,7667.616949655266,7558.07956466019,7645.70947265625,53412300
2023-02-24,7689.523451571506,7755.24587423451,7601.8935546875,7601.8935546875,44123400
2023-02-27,7601.894506209936,7689.5244140625,7579.987029246795,7689.5244140625,59983900
2023-02-28,7689.524665178572,7689.524665178572,7601.894754464286,7667.6171875,106349400
2023-03-01,7645.70925690407,7667.616733284884,7536.171875,7536.171875,67034700
2023-03-02,7536.172599637681,7623.802513586957,7536.172599637681,7558.080078125,56672000
2023-03-03,7579.987105918141,7601.894583102876,7426.634765625,7426.634765625,95376900
2023-03-06,7492.357962472098,7492.357962472098,7360.9130859375,7360.9130859375,92652000
2023-03-07,7317.098360418213,7426.635761023275,7317.098360418213,7382.82080078125,106115600
2023-03-08,7360.912786989796,7514.26513671875,7360.912786989796,7514.26513671875,79350900
2023-03-09,7579.9875723168725,7579.9875723168725,7492.357658186042,7514.26513671875,54201400
2023-03-10,7448.542003744453,7492.356956707656,7404.72705078125,7404.72705078125,59580100
2023-03-13,7404.727510508042,7558.0798554002195,7404.727510508042,7492.357421875,82077700
2023-03-14,7382.819850612331,7426.634805215372,7295.18994140625,7295.18994140625,90495300
2023-03-15,7404.727327913852,7426.634805215372,7295.18994140625,7295.18994140625,86747400
2023-03-16,7273.2822265625,7317.097179734564,7229.467273390437,7273.2822265625,105894000
2023-03-17,7339.00439453125,7404.7268219449625,7295.189442922107,7339.00439453125,198558600
2023-03-20,7360.9130859375,7426.6355242047985,7339.005606515067,7360.9130859375,37277900
2023-03-21,7360.913051470588,7448.54296875,7339.005572150735,7448.54296875,91617400
2023-03-24,7623.802933560552,7733.34033203125,7558.080494478133,7733.34033203125,145603600
2023-03-27,7733.340129983837,7733.340129983837,7623.802734375,7623.802734375,110692800
2023-03-28,7711.430925792507,7711.430925792507,7601.8935546875,7601.8935546875,98296600
2023-03-29,7753.844424161044,7865.5712890625,7709.153678200461,7865.5712890625,101068200
2023-03-30,7954.952129072239,7954.952129072239,7865.570644475921,7887.916015625,118912100
